year,avg_temperature,continent,city
1950,14.11,Europe,Madrid
1951,12.52,Europe,Madrid
1952,12.78,Europe,Madrid
1953,13.44,Europe,Madrid
1954,13.38,Europe,Madrid
1955,14.53,Europe,Madrid
1956,12.04,Europe,Madrid
1957,13.11,Europe,Madrid
1958,13.64,Europe,Madrid
1959,13.1,Europe,Madrid
1960,13.14,Europe,Madrid
1961,14.42,Europe,Madrid
1962,13.4,Europe,Madrid
1963,12.69,Europe,Madrid
1964,13.54,Europe,Madrid
1965,13.27,Europe,Madrid
1966,13.32,Europe,Madrid
1967,12.97,Europe,Madrid
1968,13.28,Europe,Madrid
1969,12.34,Europe,Madrid
1970,13.51,Europe,Madrid
1971,12.01,Europe,Madrid
1972,12.08,Europe,Madrid
1973,12.89,Europe,Madrid
1974,12.87,Europe,Madrid
1975,12.75,Europe,Madrid
1976,12.85,Europe,Madrid
1977,12.96,Europe,Madrid
1978,13.19,Europe,Madrid
1979,13.29,Europe,Madrid
1980,13.19,Europe,Madrid
1981,13.9,Europe,Madrid
1982,13.71,Europe,Madrid
1983,13.87,Europe,Madrid
1984,12.8,Europe,Madrid
1985,14.14,Europe,Madrid
1986,13.53,Europe,Madrid
1987,14.12,Europe,Madrid
1988,13.51,Europe,Madrid
1989,14.61,Europe,Madrid
1990,14.25,Europe,Madrid
1991,13.46,Europe,Madrid
1992,13.37,Europe,Madrid
1993,12.68,Europe,Madrid
1994,14.38,Europe,Madrid
1995,14.98,Europe,Madrid
1996,13.82,Europe,Madrid
1997,14.52,Europe,Madrid
1998,13.99,Europe,Madrid
1999,13.92,Europe,Madrid
2000,14.11,Europe,Madrid
2001,14.23,Europe,Madrid
2002,14.17,Europe,Madrid
2003,14.51,Europe,Madrid
2004,13.84,Europe,Madrid
2005,14.15,Europe,Madrid
2006,14.82,Europe,Madrid
2007,13.47,Europe,Madrid
2008,13.6,Europe,Madrid
2009,14.98,Europe,Madrid
2010,13.71,Europe,Madrid
2011,14.76,Europe,Madrid
2012,14.4,Europe,Madrid
2013,13.77,Europe,Madrid
2014,14.79,Europe,Madrid
2015,15.21,Europe,Madrid
2016,14.86,Europe,Madrid
2017,15.9,Europe,Madrid
2018,14.65,Europe,Madrid
2019,15.42,Europe,Madrid
2020,15.4,Europe,Madrid
2021,15.01,Europe,Madrid
1950,10.06,Europe,London
1951,9.84,Europe,London
1952,9.74,Europe,London
1953,10.01,Europe,London
1954,9.53,Europe,London
1955,9.44,Europe,London
1956,9.0,Europe,London
1957,10.45,Europe,London
1958,9.82,Europe,London
1959,10.92,Europe,London
1960,10.19,Europe,London
1961,10.78,Europe,London
1962,8.88,Europe,London
1963,8.52,Europe,London
1964,9.8,Europe,London
1965,9.43,Europe,London
1966,9.95,Europe,London
1967,10.04,Europe,London
1968,9.59,Europe,London
1969,9.77,Europe,London
1970,9.82,Europe,London
1971,10.04,Europe,London
1972,9.68,Europe,London
1973,9.84,Europe,London
1974,9.88,Europe,London
1975,10.08,Europe,London
1976,10.43,Europe,London
1977,9.79,Europe,London
1978,9.71,Europe,London
1979,9.35,Europe,London
1980,9.64,Europe,London
1981,9.62,Europe,London
1982,10.38,Europe,London
1983,10.42,Europe,London
1984,10.1,Europe,London
1985,9.36,Europe,London
1986,9.26,Europe,London
